City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
San Francisco,UberX,COMPLETED,2019-02-03 09:41:18 +0000 UTC,2019-02-03 09:45:15 +0000 UTC,37.8736627011,-122.266249929,"1910 Oxford St, Berkeley, CA 94704, US",2019-02-03 09:48:39 +0000 UTC,37.8697011794,-122.252187377,"2299 Piedmont Ave, Berkeley, CA 94720, USA",1.10,3.8200000000000003,USD
San Francisco,UberX,COMPLETED,2019-02-03 06:12:16 +0000 UTC,2019-02-03 06:16:12 +0000 UTC,37.8672493,-122.2633718,"2301 Durant Ave, Berkeley, CA 94704, US",2019-02-03 06:53:18 +0000 UTC,37.8056403268,-122.413142002,"383 Bay St, San Francisco, CA 94133, US",13.76,38.02,USD
San Francisco,Pool: MATCHED,COMPLETED,2019-02-01 04:59:51 +0000 UTC,2019-02-01 05:08:52 +0000 UTC,37.89876,-122.16589,"36 Charles Hill Cir, Orinda, CA 94563, US",2019-02-01 05:33:31 +0000 UTC,37.86737,-122.26357,"2301 Durant Ave, Berkeley, CA 94704, USA",9.49,5.83,USD
San Francisco,Pool: MATCHED,COMPLETED,2019-01-29 23:15:53 +0000 UTC,2019-01-29 23:28:02 +0000 UTC,37.86739,-122.26357,,2019-01-29 23:35:44 +0000 UTC,37.87368,-122.25659,,1.35,2.08,USD
San Francisco,UberEATS Marketplace,COMPLETED,2019-01-28 05:43:23 +0000 UTC,2019-01-28 05:43:28 +0000 UTC,37.8675508,-122.2633533,,2019-01-28 05:51:00 +0000 UTC,37.8675508,-122.2633533,,0.31,15.5,USD
San Francisco,UberEATS Marketplace,COMPLETED,2019-01-27 20:51:27 +0000 UTC,2019-01-27 20:51:27 +0000 UTC,37.8675508,-122.2633533,,2019-01-27 21:07:37 +0000 UTC,37.8675508,-122.2633533,,0.37,13.6,USD
San Francisco,UberEATS Marketplace,COMPLETED,2019-01-26 10:18:12 +0000 UTC,2019-01-26 10:18:23 +0000 UTC,37.8675508,-122.2633533,,2019-01-26 10:45:21 +0000 UTC,37.8675508,-122.2633533,,0.28,11.92,USD
San Francisco,UberX,COMPLETED,2019-01-26 09:43:51 +0000 UTC,2019-01-26 09:46:23 +0000 UTC,37.75359,-122.40827,"1155 York St, San Francisco, CA 94110, US",2019-01-26 10:09:18 +0000 UTC,37.86742,-122.26358,"2301 Durant Ave, Berkeley, CA 94704, USA",14.38,22.21,USD
San Francisco,UberX,DRIVER_CANCELED,2019-01-26 09:42:06 +0000 UTC,2019-01-26 09:43:16 +0000 UTC,37.75211,-122.40632,"1153 York St, San Francisco, CA 94110, USA",1970-01-01 00:00:00 +0000 UTC,37.75426,-122.40833,"2301 Durant Ave, Berkeley, CA 94704, USA",0.05,0,USD
San Francisco,UberX,COMPLETED,2019-01-25 22:32:23 +0000 UTC,2019-01-25 22:37:28 +0000 UTC,37.86727,-122.26314,"2301 Durant Ave, Berkeley, CA 94704, US",2019-01-25 22:43:27 +0000 UTC,37.87379,-122.25747,"UNIVERSITY Dr, Berkeley, 94720, US",1.18,3.7199999999999998,USD
San Francisco,UberEATS Marketplace,COMPLETED,2019-01-24 19:24:35 +0000 UTC,2019-01-24 19:24:42 +0000 UTC,37.8675508,-122.2633533,,2019-01-24 19:41:16 +0000 UTC,37.8675508,-122.2633533,,0.48,11.69,USD
San Francisco,Pool,COMPLETED,2019-01-19 23:41:00 +0000 UTC,2019-01-19 23:43:06 +0000 UTC,37.8917768547,-122.272296724,"950 Indian Rock Ave, Berkeley, CA 94707, USA",2019-01-19 23:51:31 +0000 UTC,37.8674435275,-122.263588311,"2301 Durant Ave, Berkeley, CA 94704, USA",2.23,3.31,USD
San Francisco,UberEATS Marketplace,COMPLETED,2019-01-19 19:00:26 +0000 UTC,2019-01-19 19:01:38 +0000 UTC,37.8675508,-122.2633533,,2019-01-19 19:16:49 +0000 UTC,37.8675508,-122.2633533,,0.32,10.86,USD
Delhi NCR,UberGo,COMPLETED,2019-01-11 15:32:32 +0000 UTC,2019-01-11 15:35:59 +0000 UTC,28.5397731,77.2942979,"Plot 47, Pocket 1, Jasola, Delhi, 110025, India",2019-01-11 15:51:07 +0000 UTC,28.5506036,77.2512427,"Epicuria Mall, R1, Nehru Place, Under Metro Station, Nehru Place, New Delhi, Delhi 110019, India",4.79,128.49,INR
Delhi NCR,UberGo,DRIVER_CANCELED,2019-01-11 15:25:24 +0000 UTC,2019-01-11 15:31:44 +0000 UTC,28.5446852,77.2928466,"Pocket 1 Street, Pocket 1, Jasola, New Delhi, Delhi 110025, India",1970-01-01 00:00:00 +0000 UTC,28.5446896,77.2928594,"Epicuria Mall, R1, Nehru Place, Under Metro Station, Nehru Place, New Delhi, Delhi 110019, India",0.00,0,INR
Delhi NCR,UberGo,CANCELED,2019-01-08 11:06:39 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,28.5389102,77.2902851,,1970-01-01 00:00:00 +0000 UTC,28.5400183,77.2948174,"81 Hemkunt Colony, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048, India",0.00,42,INR
Delhi NCR,UberGo,COMPLETED,2019-01-02 12:35:38 +0000 UTC,2019-01-02 12:37:34 +0000 UTC,28.5484175,77.2488663,"B 18, Greater Kailash 1 Road, Pamposh Enclave, Greater Kailash, New Delhi, Delhi 110048, India",2019-01-02 12:58:45 +0000 UTC,28.5399004,77.2940853,"Plot 47, Pocket 1, Jasola, Delhi, 110025, India",4.07,159.28,INR
Delhi NCR,UberGo,COMPLETED,2019-01-02 11:06:20 +0000 UTC,2019-01-02 11:11:48 +0000 UTC,28.5396879,77.2941465,"Pocket 1 Street, Pocket 1, Jasola, New Delhi, Delhi 110025, India",2019-01-02 11:26:18 +0000 UTC,28.5483509,77.2487808,"81 Hemkunt Colony, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048, India",4.54,120.13,INR
Delhi NCR,UberGo,COMPLETED,2019-01-02 09:53:07 +0000 UTC,2019-01-02 09:57:17 +0000 UTC,28.5397764,77.2942385,"Pocket 1 Street, Pocket 1, Jasola, New Delhi, Delhi 110025, India",2019-01-02 10:08:11 +0000 UTC,28.5401716,77.2828646,"Mathura Rd, Jasola, New Delhi, Delhi 110020, India",1.50,80.81,INR
Delhi NCR,UberGo,CANCELED,2018-12-28 13:13:57 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,28.5367591,77.2948604,,1970-01-01 00:00:00 +0000 UTC,28.5373624,77.2962724,"81 Hemkunt Colony, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048, India",0.00,0,INR
